shot_value,field_goal_percentage,lag1,home_crowd,score_diff,game_num
3,0.4721,0.0,0,0,1
2,0.5794,0.0,0,0,1
3,0.5337,0.0,0,-3,1
2,0.5794,-1.0,0,-5,1
2,0.5535,0.0,0,-7,1
1,0.5535,1.0,0,-7,1
2,0.5535,-1.0,0,-7,1
2,0.5337,1.0,0,-7,1
2,0.5337,-1.0,0,-9,1
3,0.5877,0.0,0,-9,1
2,0.5877,-1.0,0,-9,1
3,0.5056,0.0,0,-9,1
2,0.4721,-1.0,0,-9,1
3,0.4721,-1.0,0,-9,1
2,0.5,0.0,0,-11,1
3,0.4721,-1.0,0,-9,1
2,0.5056,-1.0,0,-9,1
2,0.5794,1.0,0,-11,1
1,0.5337,1.0,0,-10,1
1,0.5337,1.0,0,-11,1
2,0.5535,-1.0,0,-11,1
3,0.5535,-1.0,0,-11,1
3,0.5794,1.0,0,-14,1
3,0.5337,1.0,0,-14,1
3,0.5056,-1.0,0,-17,1
3,0.4928,0.0,0,-20,1
3,0.5056,1.0,0,-23,1
3,0.5337,-1.0,0,-23,1
1,0.5535,-1.0,0,-24,1
1,0.5535,1.0,0,-25,1
3,0.5056,1.0,0,-28,1
2,0.5877,1.0,0,-30,1
3,0.5877,1.0,0,-24,1
1,0.5877,-1.0,0,-25,1
1,0.5877,1.0,0,-25,1
3,0.4928,1.0,0,-25,1
2,0.5877,-1.0,0,-27,1
2,0.3333,0.0,0,-27,1
3,0.5056,1.0,0,-27,1
3,0.5337,-1.0,0,-25,1
2,0.5794,1.0,0,-27,1
2,0.5535,1.0,0,-25,1
3,0.5877,1.0,0,-25,1
2,0.5877,-1.0,0,-27,1
2,0.5535,-1.0,0,-29,1
1,0.5535,1.0,0,-30,1
3,0.5337,-1.0,0,-31,1
2,0.4721,1.0,0,-29,1
3,0.4928,-1.0,0,-32,1
3,0.5877,1.0,0,-29,1
2,0.4721,-1.0,0,-28,1
1,0.4721,1.0,0,-27,1
1,0.4721,1.0,0,-28,1
3,0.5337,1.0,0,-25,1
3,0.5877,-1.0,0,-25,1
2,0.5056,-1.0,0,-25,1
3,0.4928,1.0,0,-25,1
2,0.5794,1.0,0,-25,1
2,0.5794,-1.0,0,-27,1
2,0.4721,1.0,0,-27,1
3,0.5056,-1.0,0,-25,1
3,0.5337,-1.0,0,-28,1
3,0.5877,-1.0,0,-26,1
3,0.5337,1.0,0,-24,1
2,0.5877,-1.0,0,-24,1
1,0.5535,1.0,0,-25,1
1,0.5535,1.0,0,-25,1
1,0.3333,-1.0,0,-25,1
2,0.4928,-1.0,0,-25,1
3,0.5877,-1.0,0,-28,1
3,0.5056,-1.0,0,-28,1
1,0.5056,-1.0,0,-25,1
1,0.5056,1.0,0,-26,1
3,0.5337,0.0,0,0,2
2,0.4721,0.0,0,-2,2
2,0.5337,-1.0,0,-2,2
